,City ID,City Name,Country Code,Latitude,Longitude,Temperature,Pressure,Humidity,Cloudiness,Wind Speed
303,5880568,bethel,us,60.79,-161.76,33.8,991.0,74.0,75.0,20.8
305,2318123,yenagoa,ng,4.92,6.26,76.37,1008.01,89.0,36.0,8.3
306,877532,newala,tz,-10.94,39.28,77.36,980.45,82.0,36.0,6.4
307,2206939,bluff,nz,-46.6,168.33,51.26,1026.25,100.0,92.0,24.29
308,4020109,atuona,pf,-9.8,-139.03,77.99,1028.03,100.0,88.0,16.02
309,3996893,san carlos,mx,30.59,-110.92,89.96,924.44,14.0,0.0,3.6
310,895269,beitbridge,zw,-22.22,30.0,75.29,963.19,73.0,32.0,5.5
311,2160735,lakes entrance,au,-37.88,147.99,68.09,1023.25,71.0,20.0,8.52
312,3141667,roald,no,62.58,6.12,41.0,1017.82,95.0,0.0,1.7
313,529051,maromitsa,ru,59.87,48.01,31.91,1000.8,84.0,88.0,9.86
315,2077963,albany,au,-35.02,117.88,55.13,1019.36,96.0,88.0,5.73
316,6170031,tuktoyaktuk,ca,69.44,-133.03,3.02,1037.44,86.0,0.0,16.02
317,3370903,jamestown,sh,-15.94,-5.72,75.74,1027.55,100.0,44.0,13.11
318,823676,gornoye loo,ru,43.72,39.61,59.0,1012.0,77.0,0.0,2.24
319,6185377,yellowknife,ca,62.45,-114.38,-0.58,1016.68,99.0,0.0,6.29
320,6620339,karratha,au,-20.74,116.85,71.87,1009.72,46.0,8.0,3.15
321,1106677,bambous virieux,mu,-20.34,57.76,76.01,1014.9,94.0,32.0,1.03
322,260886,karpokhorion,gr,39.33,22.02,60.53,995.61,43.0,20.0,4.38
323,5848280,kapaa,us,22.08,-159.32,69.71,1017.17,99.0,88.0,9.64
324,3471451,arraial do cabo,br,-22.97,-42.02,80.69,1029.98,77.0,0.0,10.87
326,5855927,hilo,us,19.71,-155.08,73.31,1025.12,100.0,48.0,17.25
327,1486910,komsomolskiy,ru,67.55,63.78,18.77,995.61,86.0,88.0,15.79
328,3370903,jamestown,sh,-15.94,-5.72,75.74,1027.55,100.0,44.0,13.11
329,3833367,ushuaia,ar,-54.81,-68.31,40.91,945.76,90.0,32.0,10.65
330,1507390,dikson,ru,73.51,80.55,18.32,1028.84,95.0,80.0,12.66
331,3139597,sistranda,no,63.73,8.83,43.25,1028.84,88.0,0.0,1.59
332,2180815,tuatapere,nz,-46.13,167.69,47.21,1003.39,100.0,92.0,15.46
